date,CPIMEDSL,CPIHOSNS,CUSR0000SEMD,AHETPI,MEHOINUSA672N,medical_indexed,wage_indexed,healthcare_burden
2014-04-01,433.26,231.689,730.285,20.52,,578.7732383390851,299.7443700547778,1.9308894383347892
2014-05-01,434.262,232.744,732.384,20.53,,580.1117666703774,299.8904443091905,1.9344123084904814
2014-06-01,435.187,233.894,733.709,20.6,,581.3474340420796,300.91296409007913,1.9319454573849855
2014-07-01,435.864,234.475,735.61,20.61,,582.2518089725037,301.05903834449174,1.9340120534971368
2014-08-01,436.041,234.571,735.917,20.66,,582.4882555938997,301.7894096165551,1.9301149643852396
2014-09-01,437.091,234.675,738.398,20.66,,583.8909050428589,301.7894096165551,1.9347627399673628
2014-10-01,437.758,234.434,740.273,20.7,,584.7819214071023,302.3737066342057,1.9339708069079493
2014-11-01,439.408,234.315,742.729,20.77,,586.9860848268954,303.3962264150943,1.9347178169045685
2014-12-01,441.464,234.658,747.15,20.71,,589.7326060336192,302.51978088861836,1.9494018020948745
2015-01-01,441.351,235.485,747.897,20.8,72790.0,589.5816542357788,303.8344491783323,1.9404700679274534
2015-02-01,441.101,236.016,746.511,20.84,,589.2476900812648,304.4187461959829,1.9356485020863685
2015-03-01,442.943,236.435,751.278,20.91,,591.7083379717244,305.44126597687153,1.937224612002916
2015-04-01,445.822,236.777,761.442,20.92,,595.5542691751086,305.5873402312842,1.9488839711892598
2015-05-01,446.743,237.175,765.353,20.98,,596.7845931203385,306.46378575776015,1.9473250049585247
2015-06-01,446.33,238.568,759.742,21.0,,596.2328843370813,306.7559342665855,1.9436718828686996
2015-07-01,446.953,239.085,759.823,21.03,,597.0651230101304,307.1941570298235,1.9436083315613493
2015-08-01,446.612,239.298,760.648,21.11,,596.6095959033731,308.3627510651247,1.9347654470022941
2015-09-01,447.648,239.651,762.048,21.09,,597.9935433596795,308.07060255629943,1.9410925235892869
2015-10-01,450.681,239.395,775.62,21.19,,602.0451964822443,309.531345100426,1.945021743393754
2015-11-01,452.225,239.325,775.227,21.21,,604.1077591005234,309.82349360925133,1.949844900601446
2015-12-01,452.732,239.514,776.436,21.23,,604.7850384058779,310.11564211807666,1.9501919808856523
2016-01-01,454.194,240.424,780.152,21.31,75380.0,606.7380607814762,311.2842361533779,1.9491448339276662
2016-02-01,456.922,241.015,783.972,21.33,,610.3822776355339,311.5763846622032,1.9590132875355182
2016-03-01,457.723,241.485,783.951,21.39,,611.452298786597,312.45283018867923,1.9569427437010654
2016-04-01,459.245,241.79,785.268,21.46,,613.4854725592787,313.47534996956784,1.957045339031716
2016-05-01,460.487,242.811,789.789,21.47,,615.1446064789047,313.62142422398045,1.9614240576867736
2016-06-01,462.09,244.28,790.762,21.52,,617.285984637649,314.3517954960438,1.9636788893270938
2016-07-01,464.439,244.936,793.904,21.58,,620.4239118334633,315.22824102251974,1.9681736313376204
2016-08-01,469.02,245.472,804.742,21.6,,626.5434710007793,315.5203895313451,1.9857463789627323
2016-09-01,469.816,246.127,805.184,21.62,,627.6068128687522,315.8125380401704,1.987276429123034
2016-10-01,469.749,246.264,806.78,21.71,,627.5173104753425,317.1272063298843,1.978755836617127
2016-11-01,469.914,246.271,807.186,21.72,,627.7377268173217,317.27328058429697,1.9785395280096296
2016-12-01,470.539,246.795,809.827,21.76,,628.5726372036069,317.85757760194764,1.9775291875871748
2017-01-01,471.484,247.942,810.692,21.82,76710.0,629.8350217076702,318.7340231284236,1.9760520559610872
2017-02-01,473.139,248.693,816.569,21.84,,632.0458644105533,319.02617163724886,1.9811724573155896
2017-03-01,473.685,248.978,819.59,21.88,,632.7752421240122,319.6104686548995,1.9798326531264325
2017-04-01,473.007,249.514,825.772,21.94,,631.86953133697,320.48691418137554,1.9715922971487423
2017-05-01,472.981,250.376,826.891,21.97,,631.8347990649005,320.9251369446135,1.9687918655432248
2017-06-01,474.492,251.629,832.82,22.02,,633.8532784147836,321.65550821667676,1.9705966856560129
2017-07-01,476.279,251.87,835.838,22.07,,636.2404541912503,322.38587948874004,1.9735369774887184
2017-08-01,477.199,252.615,837.282,22.1,,637.469442279862,322.8241022519781,1.974664957891805
2017-09-01,477.19,252.984,839.67,22.18,,637.4574195702996,323.99269628727933,1.967505523658706
2017-10-01,477.671,253.125,842.773,22.18,,638.0999666035846,323.99269628727933,1.9694887382207875
2017-11-01,477.791,253.177,844.568,22.23,,638.2602693977514,324.7230675593426,1.9655525990037968
2017-12-01,478.891,253.845,847.805,22.3,,639.7297116776134,325.7455873402312,1.9638937150342284
2018-01-01,480.797,254.857,857.19,22.36,77700.0,642.2758543916289,326.6220328667072,1.966419254556959
2018-02-01,481.6,255.713,860.348,22.41,,643.348547255928,327.3524041387705,1.9653087593735865
2018-03-01,483.078,256.388,862.929,22.49,,645.3229433374152,328.5209981740718,1.9643278418248356
2018-04-01,483.577,256.969,864.05,22.55,,645.9895357898254,329.39744370054774,1.9611249211062143
2018-05-01,484.543,257.907,865.068,22.6,,647.2799732828678,330.1278149726111,1.9606950518137016
2018-06-01,486.209,258.71,869.235,22.66,,649.5055104085495,331.004260499087,1.9622270403082651
2018-07-01,485.246,259.268,870.943,22.7,,648.2190804853614,331.58855751673764,1.9548897746649208
2018-08-01,484.273,259.884,868.611,22.78,,646.9192919959926,332.7571515520389,1.9441183727491511
2018-09-01,485.039,259.941,868.531,22.86,,647.9425581654236,333.9257455873402,1.9403791613185168
2018-10-01,485.652,260.268,869.306,22.89,,648.7614382722923,334.3639683505782,1.940285137398748
2018-11-01,487.615,260.473,872.702,23.0,,651.3837248135368,335.97078514911743,1.9388106157040599
2018-12-01,488.82,261.36,874.395,23.11,,652.9934320382947,337.57760194765666,1.9343505856752459
2019-01-01,489.968,262.284,878.079,23.13,83260.0,654.5269954358233,337.869750456482,1.9372169143627647
2019-02-01,490.16,263.057,878.572,23.19,,654.7834799064902,338.746195982958,1.9329618684173557
2019-03-01,491.412,263.886,879.731,23.29,,656.4559723922966,340.20693852708456,1.9295784360965784
2019-04-01,492.97,264.452,876.495,23.33,,658.5372370032285,340.7912355447352,1.9323772688889567
2019-05-01,494.859,265.137,878.419,23.4,,661.0606701547368,341.8137553256238,1.9339791329491325
2019-06-01,495.745,266.461,876.501,23.48,,662.2442391183347,342.9823493609251,1.9308405821823962
2019-07-01,497.714,267.101,880.055,23.53,,664.8745407992876,343.7127206329884,1.9343902651459655
2019-08-01,500.662,267.263,887.607,23.61,,668.8126461093177,344.8813146682897,1.9392545135493595
2019-09-01,501.71,267.822,887.196,23.68,,670.2126238450408,345.90383444917825,1.937569223285125
2019-10-01,506.433,267.794,898.649,23.75,,676.5218746521208,346.9263542300669,1.9500446316726923
2019-11-01,508.315,267.925,900.61,23.83,,679.0359568073028,348.0949482653682,1.9507205151671538
2019-12-01,510.875,268.236,900.011,23.84,,682.4557497495271,348.24102251978087,1.9597224497316712
2020-01-01,511.854,269.468,910.413,23.91,81580.0,683.7635533786042,349.2635423006694,1.9577295382006257
2020-02-01,512.967,270.281,914.38,24.03,,685.2503617945008,351.0164333536214,1.9521888341454519
